name,enrollment,rank,tuitionFee,link,image_urls,images,location
Birmingham-Southern College,1188,124,"$31,888 (2014-15)",/best-colleges/birmingham-southern-1012,http://static.usnews.com/images/ah/education-school-image-default.png,"[{'url': 'http://static.usnews.com/images/ah/education-school-image-default.png', 'path': 'full/f14ee9e2f3817eeb49751889efbfb0b5643db72a.jpg', 'checksum': '683ccc0597a38a839942d8275b105350'}]","Birmingham, AL"
Presbyterian College,1123,124,"$33,650 (2013-14)",/best-colleges/presbyterian-college-3445,http://static.usnews.com/images/ah/education-school-image-default.png,"[{'url': 'http://static.usnews.com/images/ah/education-school-image-default.png', 'path': 'full/f14ee9e2f3817eeb49751889efbfb0b5643db72a.jpg', 'checksum': '683ccc0597a38a839942d8275b105350'}]","Clinton, SC"
Eckerd College,1821,124,"$38,668 (2014-15)",/best-colleges/eckerd-college-1487,http://colleges.usnews.rankingsandreviews.com/img/college-photo_8689._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_8689._130x0.jpg', 'path': 'full/bb73a76001d07b45f6bf9b555679863658a00d03.jpg', 'checksum': '22be1c0a968730911a8ab760f800d356'}]","St. Petersburg, FL"
Linfield College,1671,124,"$37,346 (2014-15)",/best-colleges/linfield-college-3198,http://colleges.usnews.rankingsandreviews.com/img/college-photo_3979._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_3979._130x0.jpg', 'path': 'full/71bbb2c0d9aafa42f349af562fac5c45884ffeb5.jpg', 'checksum': '223064daaeafb4ea6879ec03cdb14148'}]","McMinnville, OR"
Randolph-Macon College,1315,124,"$36,340 (2014-15)",/best-colleges/randolph-macon-college-3733,http://colleges.usnews.rankingsandreviews.com/img/college-photo_15759._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_15759._130x0.jpg', 'path': 'full/dba6106de0b8c9eadd0b3546dfb8635ace64d011.jpg', 'checksum': '7d7e7eb13af63510904a547c3db296c5'}]","Ashland, VA"
Berry College,2141,129,"$30,530 (2014-15)",/best-colleges/berry-college-1554,http://colleges.usnews.rankingsandreviews.com/img/college-photo_22129._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_22129._130x0.jpg', 'path': 'full/f8cf3078ee877e2a3649c37eb13be5ea69169fcb.jpg', 'checksum': '2db0bd3e7e60279892394f31ef3be036'}]","Mount Berry, GA"
Concordia College--Moorhead,2531,129,"$34,114 (2014-15)",/best-colleges/concordia-college-2346,http://colleges.usnews.rankingsandreviews.com/img/college-photo_11752._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_11752._130x0.jpg', 'path': 'full/fd319c1d219b28e2f2b43166b2c39c2e2f292210.jpg', 'checksum': '91b79ab587ef29af41254d3a7385eb27'}]","Moorhead, MN"
Goshen College,828,129,"$29,700 (2014-15)",/best-colleges/goshen-college-1799,http://colleges.usnews.rankingsandreviews.com/img/college-photo_5801._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_5801._130x0.jpg', 'path': 'full/5ff36a2d8c3827227008535e6debe0185f1ebb23.jpg', 'checksum': '33a6383d5237fd029b494d64fef6c15c'}]","Goshen, IN"
McDaniel College,1692,129,"$38,350 (2014-15)",/best-colleges/mcdaniel-college-2109,http://colleges.usnews.rankingsandreviews.com/img/college-photo_14014._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_14014._130x0.jpg', 'path': 'full/fb2ea15feb46e39294e77b3c17ed7a58e2df7bdc.jpg', 'checksum': '43257fd267d037dcf85a0a0ac0fa94b5'}]","Westminster, MD"
Morehouse College,2189,133,"$26,090 (2014-15)",/best-colleges/morehouse-college-1582,http://static.usnews.com/images/ah/education-school-image-default.png,"[{'url': 'http://static.usnews.com/images/ah/education-school-image-default.png', 'path': 'full/f14ee9e2f3817eeb49751889efbfb0b5643db72a.jpg', 'checksum': '683ccc0597a38a839942d8275b105350'}]","Atlanta, GA"
Moravian College,1585,133,"$36,800 (2014-15)",/best-colleges/moravian-college-3301,http://colleges.usnews.rankingsandreviews.com/img/college-photo_15871._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_15871._130x0.jpg', 'path': 'full/eca2f4b89b5e4219914c48791b0004d347a31930.jpg', 'checksum': '96138b01489f7be94e9ecef0f4e2871f'}]","Bethlehem, PA"
Randolph College,665,133,"$34,107 (2014-15)",/best-colleges/randolph-college-3734,http://colleges.usnews.rankingsandreviews.com/img/college-photo_1098._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_1098._130x0.jpg', 'path': 'full/135a88f022d645e50b0b4990c0a3c76093375df1.jpg', 'checksum': 'dc6a522e28dcfbeb5ee74ecd0682cdc1'}]","Lynchburg, VA"
Roanoke College,2029,133,"$37,802 (2014-15)",/best-colleges/roanoke-college-3736,http://colleges.usnews.rankingsandreviews.com/img/college-photo_4865._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_4865._130x0.jpg', 'path': 'full/d20914db007598b2b4f5c4415604d51d2528288a.jpg', 'checksum': '19a51886ce8bf595d0cd67338bb6effc'}]","Salem, VA"
Wesleyan College,648,133,"$19,900 (2014-15)",/best-colleges/wesleyan-college-1600,http://colleges.usnews.rankingsandreviews.com/img/college-photo_2944._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_2944._130x0.jpg', 'path': 'full/932aacf7c05f602394b9b1a813b27a5a0d761438.jpg', 'checksum': 'cdad307bd9b80becb790a3ff9b167b36'}]","Macon, GA"
Whittier College,1695,133,"$41,711 (2014-15)",/best-colleges/whittier-college-1342,http://colleges.usnews.rankingsandreviews.com/img/college-photo_7414._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_7414._130x0.jpg', 'path': 'full/eff61508f510ec3d497ec6c6b7a1ac3ee6f0bd97.jpg', 'checksum': '7a2574c67064174dccae7e50fbd2d8b7'}]","Whittier, CA"
Principia College,480,139,"$26,850 (2014-15)",/best-colleges/principia-college-1744,http://static.usnews.com/images/ah/education-school-image-default.png,"[{'url': 'http://static.usnews.com/images/ah/education-school-image-default.png', 'path': 'full/f14ee9e2f3817eeb49751889efbfb0b5643db72a.jpg', 'checksum': '683ccc0597a38a839942d8275b105350'}]","Elsah, IL"
Simpson College,1712,139,"$32,550 (2014-15)",/best-colleges/simpson-college-1887,http://static.usnews.com/images/ah/education-school-image-default.png,"[{'url': 'http://static.usnews.com/images/ah/education-school-image-default.png', 'path': 'full/f14ee9e2f3817eeb49751889efbfb0b5643db72a.jpg', 'checksum': '683ccc0597a38a839942d8275b105350'}]","Indianola, IA"
Alma College,1419,139,"$34,220 (2014-15)",/best-colleges/alma-college-2236,http://colleges.usnews.rankingsandreviews.com/img/college-photo_4756._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_4756._130x0.jpg', 'path': 'full/bf3fee43555a145d1fc5e7da4a6c2cb52bea6ad1.jpg', 'checksum': '8cf9cc62221f6522181b1694a2be53c9'}]","Alma, MI"
Central College,1386,139,"$32,124 (2014-15)",/best-colleges/central-college-pella-1850,http://colleges.usnews.rankingsandreviews.com/img/college-photo_21497._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_21497._130x0.jpg', 'path': 'full/c2a5f75948eabe4776be5c0d1a36545524fc63f4.jpg', 'checksum': '5550ae3dc11a160da9a1222dd081356d'}]","Pella, IA"
Gordon College,1707,139,"$34,390 (2014-15)",/best-colleges/gordon-college-2153,http://colleges.usnews.rankingsandreviews.com/img/college-photo_8608._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_8608._130x0.jpg', 'path': 'full/21167b2b65fe4a879f056d84b7d23fc130cad779.jpg', 'checksum': '26cee5080427b8d634368c1d17357e4f'}]","Wenham, MA"
Grove City College,2491,139,"$15,550 (2014-15)",/best-colleges/grove-city-college-3269,http://colleges.usnews.rankingsandreviews.com/img/college-photo_8052._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_8052._130x0.jpg', 'path': 'full/286238ec4910315c5a06d4a91706f35d14ac05ef.jpg', 'checksum': 'eb80dace1ca608b178529a95c8bfbae3'}]","Grove City, PA"
Houghton College,1081,139,"$28,556 (2014-15)",/best-colleges/houghton-college-2734,http://colleges.usnews.rankingsandreviews.com/img/college-photo_13614._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_13614._130x0.jpg', 'path': 'full/28f812cf64574e68e3cd5a07a044f873e09ad60b.jpg', 'checksum': '202eb295555ffdb733a45a07bdfc16c8'}]","Houghton, NY"
University of Minnesota--Morris,1946,139,"In-state: $12,584 (2013-14) Out-state: $12,584 (2013-14)",/best-colleges/minnesota-morris-2389,http://colleges.usnews.rankingsandreviews.com/img/college-photo_9075._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_9075._130x0.jpg', 'path': 'full/8271195003b245ac1e2a4104ee7df8959f7e04fb.jpg', 'checksum': 'f79d201d234fbc78929b1b47d8403f86'}]","Morris, MN"
Wittenberg University,1959,139,"$38,030 (2014-15)",/best-colleges/wittenberg-university-3143,http://colleges.usnews.rankingsandreviews.com/img/college-photo_8354._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_8354._130x0.jpg', 'path': 'full/cc92dd878f351e9b79c521f24c8ac88a2a60ba75.jpg', 'checksum': '2fc09b9ebf1acacab83109ccfb0c4841'}]","Springfield, OH"
Nebraska Wesleyan University,1927,148,"$28,500 (2014-15)",/best-colleges/nebraska-wesleyan-university-2555,http://static.usnews.com/images/ah/education-school-image-default.png,"[{'url': 'http://static.usnews.com/images/ah/education-school-image-default.png', 'path': 'full/f14ee9e2f3817eeb49751889efbfb0b5643db72a.jpg', 'checksum': '683ccc0597a38a839942d8275b105350'}]","Lincoln, NE"
Centenary College of Louisiana,586,148,"$32,000 (2014-15)",/best-colleges/centenary-louisiana-2003,http://colleges.usnews.rankingsandreviews.com/img/college-photo_18556._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_18556._130x0.jpg', 'path': 'full/3221e73db54513397eab45cedd6205fdfa5254ab.jpg', 'checksum': 'f05f5ad884471739b0aa5b5ef41aa5d2'}]","Shreveport, LA"
Hiram College,1283,148,"$30,290 (2014-15)",/best-colleges/hiram-college-3049,http://colleges.usnews.rankingsandreviews.com/img/college-photo_16814._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_16814._130x0.jpg', 'path': 'full/19a8a32cd884e9bdff0a8f4d7d59e82d3dd30d92.jpg', 'checksum': '61f1be26676aea64eace3a5c8db1e28b'}]","Hiram, OH"
Oglethorpe University,1073,148,"$32,500 (2014-15)",/best-colleges/oglethorpe-university-1586,http://colleges.usnews.rankingsandreviews.com/img/college-photo_23521._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_23521._130x0.jpg', 'path': 'full/59970d9ec7d5094297c80e73633d176572fd7549.jpg', 'checksum': 'afc89fde5a7aa9fea81694e61d644097'}]","Atlanta, GA"
Saint Vincent College,1596,148,"$31,370 (2014-15)",/best-colleges/saint-vincent-college-3368,http://colleges.usnews.rankingsandreviews.com/img/college-photo_3865._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_3865._130x0.jpg', 'path': 'full/acf2531618d7a3728cb3223e5011c6da9a08eca7.jpg', 'checksum': '1633c5e08884cd59224f602ffc2900f0'}]","Latrobe, PA"
Salem College,979,148,"$25,356 (2014-15)",/best-colleges/salem-college-2960,http://colleges.usnews.rankingsandreviews.com/img/college-photo_16074._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_16074._130x0.jpg', 'path': 'full/32d4818f7a53ca8c8ea66d3c989c8bc019c31209.jpg', 'checksum': '8bcc9abdbc9816578e37a66f2dedcfa2'}]","Winston-Salem, NC"
Wells College,534,148,"$36,700 (2014-15)",/best-colleges/wells-college-2901,http://colleges.usnews.rankingsandreviews.com/img/college-photo_12030._130x0.JPG,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_12030._130x0.JPG', 'path': 'full/59a7a87637c7c4082ff3b9fbcaebf3ed29487988.jpg', 'checksum': '05e06c979279737289d4abe2a06eed1c'}]","Aurora, NY"
Illinois College,1010,155,"$29,210 (2014-15)",/best-colleges/illinois-college-1688,http://static.usnews.com/images/ah/education-school-image-default.png,"[{'url': 'http://static.usnews.com/images/ah/education-school-image-default.png', 'path': 'full/f14ee9e2f3817eeb49751889efbfb0b5643db72a.jpg', 'checksum': '683ccc0597a38a839942d8275b105350'}]","Jacksonville, IL"
Carthage College,2902,155,"$36,850 (2014-15)",/best-colleges/carthage-college-3839,http://colleges.usnews.rankingsandreviews.com/img/college-photo_24138._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_24138._130x0.jpg', 'path': 'full/7256e8ebdec13324c277e76b3ebf340dd2f5292d.jpg', 'checksum': '6c04b938aa9ae38b5114b609624666fd'}]","Kenosha, WI"
Georgetown College,1043,155,"$32,960 (2014-15)",/best-colleges/georgetown-college-1964,http://colleges.usnews.rankingsandreviews.com/img/college-photo_20479._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_20479._130x0.jpg', 'path': 'full/9a515dd0391475cca632a5a9b6e677cbcabdfe9d.jpg', 'checksum': '19624273510bc450d65c1cecd238247c'}]","Georgetown, KY"
William Jewell College,1043,155,"$31,620 (2014-15)",/best-colleges/william-jewell-2524,http://colleges.usnews.rankingsandreviews.com/img/college-photo_471._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_471._130x0.jpg', 'path': 'full/0fdb51950d0f0883b4e0e30789f2171fd48f1740.jpg', 'checksum': '8d3a961da02022e265725a903a1d80eb'}]","Liberty, MO"
Westminster College,1044,159,"$22,560 (2014-15)",/best-colleges/westminster-college-missouri-2523,http://static.usnews.com/images/ah/education-school-image-default.png,"[{'url': 'http://static.usnews.com/images/ah/education-school-image-default.png', 'path': 'full/f14ee9e2f3817eeb49751889efbfb0b5643db72a.jpg', 'checksum': '683ccc0597a38a839942d8275b105350'}]","Fulton, MO"
College of Idaho,1095,159,"$24,625 (2014-15)",/best-colleges/college-of-idaho-1617,http://colleges.usnews.rankingsandreviews.com/img/college-photo_20584._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_20584._130x0.jpg', 'path': 'full/db1e754d7202ac7c8940f442e5e2b5471c5f17c4.jpg', 'checksum': 'bf048d31816715c1ea02f0436412ee0b'}]","Caldwell, ID"
Lycoming College,1307,159,"$34,706 (2014-15)",/best-colleges/lycoming-college-3293,http://colleges.usnews.rankingsandreviews.com/img/college-photo_547._130x0.JPG,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_547._130x0.JPG', 'path': 'full/20e19a59caa9ffa872222c0fce65388eb4ce8269.jpg', 'checksum': '8f8bb5cda502e0d385b2546dcd043142'}]","Williamsport, PA"
University of North Carolina--Asheville,3736,159,"In-state: $6,392 (2014-15) Out-state: $21,263 (2014-15)",/best-colleges/unc-asheville-2907,http://colleges.usnews.rankingsandreviews.com/img/college-photo_18582._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_18582._130x0.jpg', 'path': 'full/54d02a23d0fb2909ef2e9e77cd9451232c9c982e.jpg', 'checksum': 'b7925a72de8becce6ef236faa944cae7'}]","Asheville, NC"
Wartburg College,1714,159,"$36,120 (2014-15)",/best-colleges/wartburg-college-1896,http://colleges.usnews.rankingsandreviews.com/img/college-photo_14075._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_14075._130x0.jpg', 'path': 'full/60ae310f09d6685c8a5133e41b3e318aef50fd85.jpg', 'checksum': '061a6c5539b80fece71b4e6d6b7190eb'}]","Waverly, IA"
Doane College,1113,164,"$27,200 (2014-15)",/best-colleges/doane-college-2544,http://colleges.usnews.rankingsandreviews.com/img/college-photo_6885._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_6885._130x0.jpg', 'path': 'full/b16fc418290801c6857b2d575a5d1842ce110015.jpg', 'checksum': '225bd8e256ca26e15bd7d81a03617e9d'}]","Crete, NE"
Fisk University,607,165,"$20,858 (2014-15)",/best-colleges/fisk-3490,http://static.usnews.com/images/ah/education-school-image-default.png,"[{'url': 'http://static.usnews.com/images/ah/education-school-image-default.png', 'path': 'full/f14ee9e2f3817eeb49751889efbfb0b5643db72a.jpg', 'checksum': '683ccc0597a38a839942d8275b105350'}]","Nashville, TN"
Massachusetts College of Liberal Arts,1538,165,"In-state: $8,975 (2014-15) Out-state: $17,920 (2014-15)",/best-colleges/mcla-2187,http://static.usnews.com/images/ah/education-school-image-default.png,"[{'url': 'http://static.usnews.com/images/ah/education-school-image-default.png', 'path': 'full/f14ee9e2f3817eeb49751889efbfb0b5643db72a.jpg', 'checksum': '683ccc0597a38a839942d8275b105350'}]","North Adams, MA"
Hartwick College,1615,165,"$40,070 (2014-15)",/best-colleges/hartwick-college-2729,http://colleges.usnews.rankingsandreviews.com/img/college-photo_16214._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_16214._130x0.jpg', 'path': 'full/4bccd9c11ab0b5294e477ff797d7551820bbf4a7.jpg', 'checksum': '4860a6b6eaf2f0cd724e87656cb63970'}]","Oneonta, NY"
Lyon College,592,165,"$24,300 (2014-15)",/best-colleges/lyon-college-1088,http://colleges.usnews.rankingsandreviews.com/img/college-photo_3165._130x0.JPG,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_3165._130x0.JPG', 'path': 'full/c3c9077c2d63270a9a80d1881064a5a3ff32bc07.jpg', 'checksum': '439e12552b1a9839a6b3d43172a85cd6'}]","Batesville, AR"
Monmouth College,1256,165,"$33,200 (2014-15)",/best-colleges/monmouth-college-1725,http://colleges.usnews.rankingsandreviews.com/img/college-photo_7993._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_7993._130x0.jpg', 'path': 'full/33e551d8fad673b58d0591bbddc58625fe9e9cd1.jpg', 'checksum': 'fee262f79fa0534e6198ef2a7c7ac465'}]","Monmouth, IL"
Warren Wilson College,830,165,"$30,852 (2014-15)",/best-colleges/warren-wilson-2979,http://colleges.usnews.rankingsandreviews.com/img/college-photo_11062._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_11062._130x0.jpg', 'path': 'full/be364e0f6783ed10c2592ea30f1a5ed28ef417de.jpg', 'checksum': '84f687691b4b4311d6f737659eadee3d'}]","Asheville, NC"
Purchase College--SUNY,4265,171,"In-state: $7,873 (2014-15) Out-state: $17,523 (2014-15)",/best-colleges/suny-purchase-6791,http://static.usnews.com/images/ah/education-school-image-default.png,"[{'url': 'http://static.usnews.com/images/ah/education-school-image-default.png', 'path': 'full/f14ee9e2f3817eeb49751889efbfb0b5643db72a.jpg', 'checksum': '683ccc0597a38a839942d8275b105350'}]","Purchase, NY"
Emory and Henry College,936,172,"$30,226 (2014-15)",/best-colleges/emory-and-henry-college-3709,http://static.usnews.com/images/ah/education-school-image-default.png,"[{'url': 'http://static.usnews.com/images/ah/education-school-image-default.png', 'path': 'full/f14ee9e2f3817eeb49751889efbfb0b5643db72a.jpg', 'checksum': '683ccc0597a38a839942d8275b105350'}]","Emory, VA"
Eastern Mennonite University,1184,172,"$29,350 (2013-14)",/best-colleges/eastern-mennonite-university-3708,http://colleges.usnews.rankingsandreviews.com/img/college-photo_18602._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_18602._130x0.jpg', 'path': 'full/0909bf2f60a8cae9ca2c72278ba6b089d8d9e18c.jpg', 'checksum': 'ccfba39c023dd5a3ee3cf8d7afeba67f'}]","Harrisonburg, VA"
Guilford College,2302,172,"$33,430 (2014-15)",/best-colleges/guilford-college-2931,http://colleges.usnews.rankingsandreviews.com/img/college-photo_12680._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_12680._130x0.jpg', 'path': 'full/15b091bac40457a3b2c485867699bfd6b0650b3f.jpg', 'checksum': '2862da6b1a11dd11debeaa9ccff18e45'}]","Greensboro, NC"
Northland College,553,172,"$31,480 (2014-15)",/best-colleges/northland-college-3875,http://colleges.usnews.rankingsandreviews.com/img/college-photo_2685._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_2685._130x0.jpg', 'path': 'full/4784ef480e193ed551a812f8083fdfdb71609852.jpg', 'checksum': 'fac2959e2db4b48f78209b43144c1193'}]","Ashland, WI"
Ouachita Baptist University,1543,176,"$23,320 (2014-15)",/best-colleges/ouachita-baptist-university-1102,http://colleges.usnews.rankingsandreviews.com/img/college-photo_4156._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_4156._130x0.jpg', 'path': 'full/5feea5ef2d9f9ece1aa961bb844b9d6c9d37e492.jpg', 'checksum': '5ccddfa205e65a41acd26604e9aade53'}]","Arkadelphia, AR"
Albright College,2349,177,"$38,220 (2014-15)",/best-colleges/albright-college-3229,http://colleges.usnews.rankingsandreviews.com/img/college-photo_11793._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_11793._130x0.jpg', 'path': 'full/bc199e3f6305b2c25ac0e0bcb0c6c9f3d1801a72.jpg', 'checksum': '819c38c52bdad1b0dd9ba9bfd4da8f4f'}]","Reading, PA"
Bridgewater College,1848,178,"$30,380 (2014-15)",/best-colleges/bridgewater-college-3704,http://colleges.usnews.rankingsandreviews.com/img/college-photo_16306._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_16306._130x0.jpg', 'path': 'full/91e40db8eeef27737eb72078a0b0437cbef4d316.jpg', 'checksum': 'b94613380f4fd49337a94a7ea3bb427e'}]","Bridgewater, VA"
Erskine College,605,178,"$31,280 (2014-15)",/best-colleges/erskine-college-3432,http://colleges.usnews.rankingsandreviews.com/img/college-photo_16513._130x0.png,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_16513._130x0.png', 'path': 'full/7e68cbea6a4e793bea0bd103127154664616efdf.jpg', 'checksum': '097406fc1489f6943cc1c9efbdc62247'}]","Due West, SC"
Wisconsin Lutheran College,1070,178,"$25,960 (2014-15)",/best-colleges/wisconsin-lutheran-21366,http://colleges.usnews.rankingsandreviews.com/img/college-photo_3590._130x0.JPG,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_3590._130x0.JPG', 'path': 'full/9eb157748679b26b3a5e5b7859a3bfcbccd65f2e.jpg', 'checksum': '88639245737386f9547c0cedafdb2fc0'}]","Milwaukee, WI"
Xavier University of Louisiana,2504,178,"$21,552 (2014-15)",/best-colleges/xavier-louisiana-2032,http://colleges.usnews.rankingsandreviews.com/img/college-photo_11473._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_11473._130x0.jpg', 'path': 'full/be237d4386598934dbceb4f05109e8f85c2bc7bd.jpg', 'checksum': '025c3f64d2818ec0fd96e3f59e3b136c'}]","New Orleans, LA"
